Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
1640,31,115,0.05,0.52,-0.26,1.4135055239370553
2076,37,101,0.05,0.5,-0.26,1.4132171125394575
448,15,123,0.05,0.58,-0.25,1.4130699321293563
708,19,83,0.05,0.56,-0.19,1.4128440950878676
749,19,124,0.05,0.56,-0.21,1.412610607989938
748,19,123,0.05,0.56,-0.21,1.412610607989938
2891,48,91,0.04,0.47,-0.3,1.4124633612884705
512,16,112,0.05,0.58,-0.23,1.4124114586283165
503,16,103,0.05,0.57,-0.24,1.4122893946874489
447,15,122,0.05,0.58,-0.24,1.412018609823045
446,15,121,0.05,0.58,-0.24,1.4120186098230447
577,17,102,0.05,0.57,-0.24,1.4116321626466084
578,17,103,0.05,0.57,-0.24,1.4116321626466084
1617,31,92,0.05,0.52,-0.23,1.4114946896557456
1421,28,121,0.05,0.53,-0.26,1.411492210604442
898,21,123,0.05,0.54,-0.26,1.4112394818137466
2295,40,95,0.04,0.5,-0.27,1.4108760338718929
712,19,87,0.05,0.56,-0.21,1.4105918591021527
1642,31,117,0.05,0.52,-0.26,1.4105399834547354
1090,24,90,0.05,0.53,-0.23,1.410492905948921
1165,25,90,0.05,0.53,-0.23,1.4104376422894003
1164,25,89,0.05,0.53,-0.23,1.4104376422894003
471,16,71,0.05,0.55,-0.25,1.410373041891468
1497,29,122,0.05,0.53,-0.26,1.4101687221106136
1498,29,123,0.05,0.53,-0.26,1.4101687221106136
2597,44,97,0.04,0.47,-0.3,1.4101504814233592
787,20,87,0.05,0.56,-0.22,1.4100177890750003
3018,50,69,0.04,0.5,-0.26,1.4099785596730323
812,20,112,0.05,0.54,-0.21,1.409565869755249
513,16,113,0.05,0.58,-0.23,1.4092410225563368
580,17,105,0.05,0.57,-0.23,1.4092071077200365
2528,43,103,0.04,0.47,-0.3,1.4088344226769003
1495,29,120,0.05,0.52,-0.26,1.4087857191324844
1475,29,100,0.05,0.52,-0.25,1.4086456107798415
2819,47,94,0.04,0.47,-0.3,1.4086328336128016
1984,36,84,0.04,0.51,-0.22,1.4084762023666992
644,18,94,0.05,0.56,-0.22,1.4082194700913293
2140,38,90,0.04,0.49,-0.26,1.408145159169429
807,20,107,0.05,0.54,-0.21,1.4079121620210444
2892,48,92,0.04,0.47,-0.3,1.4077179383726208
414,15,89,0.05,0.57,-0.21,1.4076846482758103
2967,49,92,0.04,0.47,-0.3,1.4076799051776396
543,17,68,0.04,0.54,-0.25,1.4075846776101997
343,14,93,0.05,0.57,-0.22,1.4071440546424454
321,14,71,0.05,0.56,-0.23,1.407125001681835
1570,30,120,0.05,0.52,-0.26,1.4070412798240697
1641,31,116,0.05,0.52,-0.26,1.4065489115055623
1831,34,81,0.04,0.51,-0.25,1.4065409098671318
2817,47,92,0.04,0.47,-0.3,1.4063511683704204
